docno,text
74,"Dex Number: #0074 Geodude Rock · Ground Name: Geodude Type: Rock, Ground Description: Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,"Dex Number: #0075 Graveler Rock · Ground Name: Graveler Type: Rock, Ground Description: Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction."
76,"Dex Number: #0076 Golem Rock · Ground Name: Golem Type: Rock, Ground Description: Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage."
77,Dex Number: #0077 Ponyta Fire Name: Ponyta Type: Fire Description: Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,"Dex Number: #0078 Rapidash Fire Name: Rapidash Type: Fire Description: Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
79,"Dex Number: #0079 Slowpoke Water · Psychic Name: Slowpoke Type: Water, Psychic Description: Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack."
80,"Dex Number: #0080 Slowbro Water · Psychic Name: Slowbro Type: Water, Psychic Description: The SHELLDER that is latched onto SLOWPOKE’s tail is said to feed on the host’s left over scraps."
81,"Dex Number: #0081 Magnemite Electric · Steel Name: Magnemite Type: Electric, Steel Description: Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves."
82,"Dex Number: #0082 Magneton Electric · Steel Name: Magneton Type: Electric, Steel Description: Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up."
83,"Dex Number: #0083 Farfetch'd Normal · Flying Name: Farfetch'd Type: Normal, Flying Description: The sprig of green onions it holds is its weapon. It is used much like a metal sword."
84,"Dex Number: #0084 Doduo Normal · Flying Name: Doduo Type: Normal, Flying Description: A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints."
85,"Dex Number: #0085 Dodrio Normal · Flying Name: Dodrio Type: Normal, Flying Description: Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,Dex Number: #0086 Seel Water Name: Seel Type: Water Description: The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,"Dex Number: #0087 Dewgong Water · Ice Name: Dewgong Type: Water, Ice Description: Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters."
88,Dex Number: #0088 Grimer Poison Name: Grimer Type: Poison Description: Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,"Dex Number: #0089 Muk Poison Name: Muk Type: Poison Description: Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,Dex Number: #0090 Shellder Water Name: Shellder Type: Water Description: Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,"Dex Number: #0091 Cloyster Water · Ice Name: Cloyster Type: Water, Ice Description: When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,"Dex Number: #0092 Gastly Ghost · Poison Name: Gastly Type: Ghost, Poison Description: Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,"Dex Number: #0093 Haunter Ghost · Poison Name: Haunter Type: Ghost, Poison Description: Because of its ability to slip through block walls, it is said to be from another dimension."
94,"Dex Number: #0094 Gengar Ghost · Poison Name: Gengar Type: Ghost, Poison Description: Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
95,"Dex Number: #0095 Onix Rock · Ground Name: Onix Type: Rock, Ground Description: As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,Dex Number: #0096 Drowzee Psychic Name: Drowzee Type: Psychic Description: Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,"Dex Number: #0097 Hypno Psychic Name: Hypno Type: Psychic Description: When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,"Dex Number: #0098 Krabby Water Name: Krabby Type: Water Description: Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,"Dex Number: #0099 Kingler Water Name: Kingler Type: Water Description: The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,"Dex Number: #0100 Voltorb Electric Name: Voltorb Type: Electric Description: Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,Dex Number: #0101 Electrode Electric Name: Electrode Type: Electric Description: It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,"Dex Number: #0102 Exeggcute Grass · Psychic Name: Exeggcute Type: Grass, Psychic Description: Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,"Dex Number: #0103 Exeggutor Grass · Psychic Name: Exeggutor Type: Grass, Psychic Description: Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,"Dex Number: #0104 Cubone Ground Name: Cubone Type: Ground Description: Because it never removes its skull helmet, no one has ever seen this POKéMON’s real face."
105,Dex Number: #0105 Marowak Ground Name: Marowak Type: Ground Description: The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,"Dex Number: #0106 Hitmonlee Fighting Name: Hitmonlee Type: Fighting Description: When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,"Dex Number: #0107 Hitmonchan Fighting Name: Hitmonchan Type: Fighting Description: While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,Dex Number: #0108 Lickitung Normal Name: Lickitung Type: Normal Description: Its tongue can be extended like a chameleon’s. It leaves a tingling sensation when it licks enemies.
109,"Dex Number: #0109 Koffing Poison Name: Koffing Type: Poison Description: Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,"Dex Number: #0110 Weezing Poison Name: Weezing Type: Poison Description: Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,"Dex Number: #0111 Rhyhorn Ground · Rock Name: Rhyhorn Type: Ground, Rock Description: Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying."
112,"Dex Number: #0112 Rhydon Ground · Rock Name: Rhydon Type: Ground, Rock Description: Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,Dex Number: #0113 Chansey Normal Name: Chansey Type: Normal Description: A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
114,Dex Number: #0114 Tangela Grass Name: Tangela Type: Grass Description: The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks.
115,Dex Number: #0115 Kangaskhan Normal Name: Kangaskhan Type: Normal Description: The infant rarely ventures out of its mother’s protective pouch until it is 3 years old.
116,Dex Number: #0116 Horsea Water Name: Horsea Type: Water Description: Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,Dex Number: #0117 Seadra Water Name: Seadra Type: Water Description: Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,"Dex Number: #0118 Goldeen Water Name: Goldeen Type: Water Description: Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,"Dex Number: #0119 Seaking Water Name: Seaking Type: Water Description: In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,Dex Number: #0120 Staryu Water Name: Staryu Type: Water Description: An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.
121,"Dex Number: #0121 Starmie Water · Psychic Name: Starmie Type: Water, Psychic Description: Its central core glows with the seven colors of the rainbow. Some people value the core as a gem."
122,"Dex Number: #0122 Mr. Mime Psychic · Fairy Name: Mr. Mime Type: Psychic, Fairy Description: If interrupted while it is miming, it will slap around the offender with its broad hands."
123,"Dex Number: #0123 Scyther Bug · Flying Name: Scyther Type: Bug, Flying Description: With ninja-like agility and speed, it can create the illusion that there is more than one."
124,"Dex Number: #0124 Jynx Ice · Psychic Name: Jynx Type: Ice, Psychic Description: It seductively wiggles its hips as it walks. It can cause people to dance in unison with it."
125,"Dex Number: #0125 Electabuzz Electric Name: Electabuzz Type: Electric Description: Normally found near power plants, they can wander away and cause major blackouts in cities."
126,Dex Number: #0126 Magmar Fire Name: Magmar Type: Fire Description: Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,"Dex Number: #0127 Pinsir Bug Name: Pinsir Type: Bug Description: If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,"Dex Number: #0128 Tauros Normal Name: Tauros Type: Normal Description: When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,"Dex Number: #0129 Magikarp Water Name: Magikarp Type: Water Description: In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,"Dex Number: #0130 Gyarados Water · Flying Name: Gyarados Type: Water, Flying Description: Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
131,"Dex Number: #0131 Lapras Water · Ice Name: Lapras Type: Water, Ice Description: A POKéMON that has been overhunted almost to extinction. It can ferry people across the water."
132,Dex Number: #0132 Ditto Normal Name: Ditto Type: Normal Description: Capable of copying an enemy’s genetic code to instantly transform itself into a duplicate of the enemy.
133,Dex Number: #0133 Eevee Normal Name: Eevee Type: Normal Description: Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,Dex Number: #0134 Vaporeon Water Name: Vaporeon Type: Water Description: Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid’s.
135,Dex Number: #0135 Jolteon Electric Name: Jolteon Type: Electric Description: It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts.
136,"Dex Number: #0136 Flareon Fire Name: Flareon Type: Fire Description: When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,Dex Number: #0137 Porygon Normal Name: Porygon Type: Normal Description: A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,"Dex Number: #0138 Omanyte Rock · Water Name: Omanyte Type: Rock, Water Description: Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,"Dex Number: #0139 Omastar Rock · Water Name: Omastar Type: Rock, Water Description: A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey."
140,"Dex Number: #0140 Kabuto Rock · Water Name: Kabuto Type: Rock, Water Description: A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago."
141,"Dex Number: #0141 Kabutops Rock · Water Name: Kabutops Type: Rock, Water Description: Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids."
142,"Dex Number: #0142 Aerodactyl Rock · Flying Name: Aerodactyl Type: Rock, Flying Description: A ferocious, prehistoric POKéMON that goes for the enemy’s throat with its serrated saw-like fangs."
143,"Dex Number: #0143 Snorlax Normal Name: Snorlax Type: Normal Description: Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,"Dex Number: #0144 Articuno Ice · Flying Name: Articuno Type: Ice, Flying Description: A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains."
145,"Dex Number: #0145 Zapdos Electric · Flying Name: Zapdos Type: Electric, Flying Description: A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts."
146,"Dex Number: #0146 Moltres Fire · Flying Name: Moltres Type: Fire, Flying Description: Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames."
147,Dex Number: #0147 Dratini Dragon Name: Dratini Type: Dragon Description: Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,Dex Number: #0148 Dragonair Dragon Name: Dragonair Type: Dragon Description: A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,"Dex Number: #0149 Dragonite Dragon · Flying Name: Dragonite Type: Dragon, Flying Description: An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans."
150,Dex Number: #0150 Mewtwo Psychic Name: Mewtwo Type: Psychic Description: It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,Dex Number: #0151 Mew Psychic Name: Mew Type: Psychic Description: So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
152,Dex Number: #0152 Chikorita Grass Name: Chikorita Type: Grass Description: A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun’s rays.
153,"Dex Number: #0153 Bayleef Grass Name: Bayleef Type: Grass Description: The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
154,Dex Number: #0154 Meganium Grass Name: Meganium Type: Grass Description: The aroma that rises from its petals contains a substance that calms aggressive feelings.
155,"Dex Number: #0155 Cyndaquil Fire Name: Cyndaquil Type: Fire Description: It is timid, and always curls itself up in a ball. If attacked, it flares up its back for protection."
156,Dex Number: #0156 Quilava Fire Name: Quilava Type: Fire Description: Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
157,"Dex Number: #0157 Typhlosion Fire Name: Typhlosion Type: Fire Description: If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
158,Dex Number: #0158 Totodile Water Name: Totodile Type: Water Description: Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
159,"Dex Number: #0159 Croconaw Water Name: Croconaw Type: Water Description: If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
160,"Dex Number: #0160 Feraligatr Water Name: Feraligatr Type: Water Description: When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
161,"Dex Number: #0161 Sentret Normal Name: Sentret Type: Normal Description: A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
162,Dex Number: #0162 Furret Normal Name: Furret Type: Normal Description: It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
163,"Dex Number: #0163 Hoothoot Normal · Flying Name: Hoothoot Type: Normal, Flying Description: It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,"Dex Number: #0164 Noctowl Normal · Flying Name: Noctowl Type: Normal, Flying Description: Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark."
165,"Dex Number: #0165 Ledyba Bug · Flying Name: Ledyba Type: Bug, Flying Description: It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group."
166,"Dex Number: #0166 Ledian Bug · Flying Name: Ledian Type: Bug, Flying Description: When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
167,"Dex Number: #0167 Spinarak Bug · Poison Name: Spinarak Type: Bug, Poison Description: It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,"Dex Number: #0168 Ariados Bug · Poison Name: Ariados Type: Bug, Poison Description: It spins string not only from its rear but also from its mouth. It is hard to tell which end is which."
169,"Dex Number: #0169 Crobat Poison · Flying Name: Crobat Type: Poison, Flying Description: It flies so silently through the dark on its four wings that it may not be noticed even when nearby."
170,"Dex Number: #0170 Chinchou Water · Electric Name: Chinchou Type: Water, Electric Description: It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies."
171,"Dex Number: #0171 Lanturn Water · Electric Name: Lanturn Type: Water, Electric Description: The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles."
172,Dex Number: #0172 Pichu Electric Name: Pichu Type: Electric Description: It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,"Dex Number: #0173 Cleffa Fairy Name: Cleffa Type: Fairy Description: Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
174,"Dex Number: #0174 Igglybuff Normal · Fairy Name: Igglybuff Type: Normal, Fairy Description: It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,Dex Number: #0175 Togepi Fairy Name: Togepi Type: Fairy Description: The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,"Dex Number: #0176 Togetic Fairy · Flying Name: Togetic Type: Fairy, Flying Description: They say that it will appear before kindhearted, caring people and shower them with happiness."
177,"Dex Number: #0177 Natu Psychic · Flying Name: Natu Type: Psychic, Flying Description: Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something."
178,"Dex Number: #0178 Xatu Psychic · Flying Name: Xatu Type: Psychic, Flying Description: They say that it stays still and quiet because it is seeing both the past and future at the same time."
179,"Dex Number: #0179 Mareep Electric Name: Mareep Type: Electric Description: If static electricity builds in its body, its fleece doubles in volume. Touching it will shock you."
180,"Dex Number: #0180 Flaaffy Electric Name: Flaaffy Type: Electric Description: As a result of storing too much electricity, it developed patches where even downy wool won’t grow."
181,Dex Number: #0181 Ampharos Electric Name: Ampharos Type: Electric Description: The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
182,Dex Number: #0182 Bellossom Grass Name: Bellossom Type: Grass Description: BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.
183,"Dex Number: #0183 Marill Water · Fairy Name: Marill Type: Water, Fairy Description: The tip of its tail, which contains oil that is lighter than water, lets it swim without drowning."
184,"Dex Number: #0184 Azumarill Water · Fairy Name: Azumarill Type: Water, Fairy Description: By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers."
185,"Dex Number: #0185 Sudowoodo Rock Name: Sudowoodo Type: Rock Description: Although it always pretends to be a tree, its composition appears to be closer to a rock than a plant."
186,"Dex Number: #0186 Politoed Water Name: Politoed Type: Water Description: If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gathering from far and wide."
187,"Dex Number: #0187 Hoppip Grass · Flying Name: Hoppip Type: Grass, Flying Description: To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
188,"Dex Number: #0188 Skiploom Grass · Flying Name: Skiploom Type: Grass, Flying Description: The bloom on top of its head opens and closes as the temperature fluctuates up and down."
189,"Dex Number: #0189 Jumpluff Grass · Flying Name: Jumpluff Type: Grass, Flying Description: Once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world."
